lo,State,Region,Setting,Location,Aid Policy,Total Cost of Attendance (Out of State),Full-Time Undergrads,Full-Time International Undergrads,Percentage of All Internationals to Undergrads,Average International Noncitizen Financial Aid Award,Percentage of International Noncitizens Receiving Aid,Overall Ranking,"Institution Type 
(R/O: Regional/Others)",Acceptance Rate,SAT Range,ACT Range,High school GPA
Adelphi University,NY,Mid-Atlantic,Suburban,"Garden City, New York",Merit,"$66,256","4,769",264,6%,"$29,435",40%,163,NU,73%,1110-1310,22-29,3.7
Agnes Scott College,GA,Southeast,City,"Decatur, Georgia",Need & Merit,"$62,448",921,22,2%,"$35,518",100%,63,LAC,67%,1130-1350,24-31,3.8
Albion College,MI,Great Lakes,Rural,"Albion, Michigan",Merit,"$68,900","1,440",40,3%,"$47,757",108%,124,LAC,67%,N/A,N/A,3.4
Alfred University,NY,Mid-Atlantic,Rural,"Alfred, New York",Need & Merit,"$54,604","1,277",75,6%,"$22,767",92%,69,R/O,51%,1085-1295,25-30,3.3
Allegheny College,PA,Mid-Atlantic,Suburban,"Meadville, Pennsylvania",Merit,"$70,906","1,322",54,4%,"$42,909",93%,75,LAC,64%,1114-1372,23-30,3.5
Alma College,MI,Great Lakes,N/A,"Alma, Michigan",Need & Merit,"$61,550","1,214",32,3%,"$35,566",97%,7,R/O,65%,965-1200,18-25,3.6
American University,DC,Mid-Atlantic,Urban,"Washington, District of Columbia",Merit,"$71,703","7,411",682,9%,"$36,974",8%,105,NU,41%,1290-1435,29-33,N/A
Amherst College,MA,New England,N/A,"Amherst, Massachusetts",Need-Based,"$83,650","1,971",218,11%,"$76,739",80%,2,LAC,7%,N/A,32-35,N/A
Antioch College,OH,Great Lakes,N/A,"Yellow Springs, Ohio",Need & Merit,"$50,383",138,0,0%,,,100,LAC,83%,N/A,19-26,N/A
Arizona State University,AZ,Southwest,Urban,"Tempe, Arizona",Merit,"$50,101","58,993",4281,7%,"$10,349",53%,105,NU,90%,1120-1370,19-27,3.5
Auburn University,AL,Southeast,N/A,"Auburn, Alabama",No Aid,"$55,186","22,715",707,3%,$0,0%,93,NU,44%,1240-1390,25-31,N/A
Augustana College,IL,Great Lakes,Suburban,"Rock Island, Illinois",Need & Merit,"$62,242","2,295",338,15%,"$32,556",91%,100,LAC,61%,1020-1250,21-28,3.4
Austin College,TX,Southwest,N/A,"Sherman, Texas",Merit,"$60,558","1,164",14,1%,"$28,688",100%,93,LAC,55%,1130-1360,23-29,3.6
Babson College,MA,New England,Suburban,"Babson Park, Massachusetts",Need & Merit,"$77,248","2,709",782,29%,,,Unranked,R/O,22%,N/A,N/A,N/A
Bard College,NY,Mid-Atlantic,N/A,"Annandale on Hudson, New York",Need-Based,"$80,702","1,832",269,15%,"$58,322",78%,72,LAC,60%,N/A,N/A,N/A
Barnard College,NY,Mid-Atlantic,City,"New York, New York",,"$84,409","3,188",416,13%,"$36,454",42%,11,LAC,9%,1440-1550,32-34,N/A
Barry University,FL,Southeast,N/A,"Miami Shores, Florida",,"$50,558",,,,,,395-435,NU,60%,880-1070,17-22,N/A
Bates College,ME,New England,N/A,"Lewiston, Maine",Need-Based,"$80,440","1,790",158,9%,"$66,338",54%,24,LAC,14%,1310-1505,31-33,N/A
Baylor University,TX,Southwest,N/A,"Waco, Texas",Merit,"$70,171","14,885",506,3%,"$22,954",61%,93,NU,46%,1230-1410,28-33,N/A
Belmont University,TN,Southeast,City,"Nashville, Tennessee",Merit,"$60,480","7,087",54,1%,,,236,NU,96%,1150-1340,24-30,3.8
Beloit College,WI,Great Lakes,City,"Beloit, Wisconsin",Need & Merit,"$69,102",921,139,15%,"$44,061",99%,86,LAC,66%,1190-1360,26-31,3.3
Bennington College,VT,New England,N/A,"Bennington, Vermont",Need & Merit,"$82,968",695,114,16%,"$54,787",114%,112,LAC,45%,1260-1370,29-33,3.6
Bentley University,MA,New England,Suburban,"Waltham, Massachusetts",Merit,"$77,770","3,856",553,14%,"$21,541",43%,1,R/O,58%,1258-1420,28-32,N/A
Bethel University (TN),TN,Southeast,N/A,"McKenzie, Tennessee",Need & Merit,"$33,328","1,759",7,<1%,"$15,175",57%,110,R/O,47%,N/A,15-21,N/A
Biola University,CA,West Coast,Suburban,"La Mirada, California",,"$59,896","3,188",221,7%,"$20,747",82%,236,NU,58%,1105-1365,23-30,0
Birmingham-Southern College,AL,Southeast,Urban,"Birmingham, Alabama",Need & Merit,"$39,020",969,14,1%,"$12,139",79%,135,LAC,57%,1150-1280,22-29,3.7
Boise State University,ID,Rocky Mts,City,"Boise, Idaho",,"$46,053",,,,,,332,NU,84%,950-1200,20-27,3.5
Boston College,MA,New England,Suburban,"Chestnut Hill, Massachusetts",,"$83,746",,,,,,39,NU,17%,1435-1540,33-35,N/A
Boston University,MA,New England,Urban,"Boston, Massachusetts",Merit,"$82,760","17,415",3980,23%,"$41,958",5%,43,NU,14%,1350-1500,31-34,3.9
Bowdoin College,ME,New England,Suburban,"Brunswick, Maine",Need-Based,"$80,390","1,909",121,6%,"$72,348",53%,9,LAC,9%,1460-1560,33-35,N/A
Bradley University,IL,Great Lakes,N/A,"Peoria, Illinois",Merit,"$53,436","4,214",91,2%,"$31,205",97%,185,NU,75%,1050-1280,24-30,3.8
Brandeis University,MA,New England,Suburban,"Waltham, Massachusetts",Need & Merit,"$81,914","3,566",774,22%,"$47,514",16%,60,NU,39%,1340-1520,31-34,3.8
Bridgewater State University,MA,New England,N/A,"Bridgewater, Massachusetts",No Aid,"$35,453","6,520",34,1%,,,91,R/O,88%,1030-1215,19-25,3.3
Brigham Young University,UT,Rocky Mts,City,"Provo, Utah",,"$21,120","28,282",908,3%,"$6,354",64%,115,NU,67%,1280-1468,27-32,3.9
Brown University,RI,New England,City,"Providence, Rhode Island",Need-Based,"$83,686","7,166",831,12%,"$67,798",25%,9,NU,5%,1490-1580,34-36,N/A
Bryn Mawr College,PA,Mid-Atlantic,N/A,"Bryn Mawr, Pennsylvania",Need-Based,"$79,380","1,397",203,15%,"$67,924",37%,30,LAC,31%,1280-1500,29-35,N/A
Bucknell University,PA,Mid-Atlantic,Rural,"Lewisburg, Pennsylvania",Need & Merit,"$80,170","3,731",172,5%,"$59,140",58%,30,LAC,33%,1310-1470,30-33,3.6
Butler University,IN,Great Lakes,City,"Indianapolis, Indiana",Merit,"$64,180","4,447",52,1%,,,1,R/O,82%,1110-1320,24-30,3.9
California Institute of Technology,CA,West Coast,Suburban,"Pasadena, California",Need-Based,"$83,598",982,92,9%,"$65,437",46%,7,NU,3%,N/A,N/A,N/A
California Poly State U. - San Luis Obispo,CA,West Coast,N/A,"San Luis Obispo, California",Merit,"$47,828","19,888",337,2%,"$9,874",14%,1,R/O,30%,1240-1470,28-33,3.9
California State Poly. U. - Pomona,CA,West Coast,N/A,"Pomona, California",No Aid,"$39,989","21,473",395,2%,,,3,R/O,55%,N/A,N/A,3.8
California State University - Long Beach,CA,West Coast,N/A,"Long Beach, California",Need & Merit,"$38,062","27,580",1637,6%,"$1,702",7%,105,NU,40%,N/A,N/A,3.7
California State University - Los Angeles,CA,West Coast,N/A,"Los Angeles, California",Need & Merit,"$42,569","18,576",269,1%,"$11,204",14%,21,R/O,87%,N/A,N/A,3.4
California State University - Northridge,CA,West Coast,N/A,"Northridge, California",,"$35,587","28,117",1076,4%,,,25,R/O,68%,N/A,N/A,3.4
Calvin University,MI,Great Lakes,Suburban,"Grand Rapids, Michigan",Need & Merit,"$54,070","2,637",363,14%,"$26,925",98%,4,R/O,74%,1120-1370,25-30,3.8
Carleton College,MN,Plains,N/A,"Northfield, Minnesota",Need-Based,"$81,350","2,007",204,10%,"$58,987",46%,9,LAC,17%,1430-1550,32-35,N/A
Carnegie Mellon University,PA,Mid-Atlantic,N/A,"Pittsburgh, Pennsylvania",No Aid,"$80,230",,,,,,24,NU,11%,1490-1570,34-35,3.9
Case Western Reserve University,OH,Great Lakes,N/A,"Cleveland, Ohio",Need & Merit,"$82,004","5,909",823,14%,"$34,598",32%,53,NU,27%,1410-1540,32-35,3.8
Catawba College,NC,Southeast,N/A,"Salisbury, North Carolina",Need & Merit,"$49,278","1,034",67,6%,"$30,325",87%,6,R/O,67%,1000-1210,18-27,3.6
Catholic University,DC,Mid-Atlantic,N/A,"Washington, District of Columbia",,"$75,006",,,,,,178,NU,86%,1110-1340,22-29,3.5
Chapman University,CA,West Coast,Suburban,"Orange, California",Merit,"$82,546","7,149",209,3%,"$16,864",69%,133,NU,73%,1200-1400,26-31,N/A
Christopher Newport University,VA,Southeast,Urban,"Newport News, Virginia",Merit,"$46,437","4,346",16,<1%,"$4,315",31%,7,R/O,85%,1100-1290,22-29,3.8
Claremont McKenna College,CA,West Coast,N/A,"Claremont, California",Need & Merit,"$82,127","1,377",210,15%,"$63,162",19%,11,LAC,10%,1440-1550,33-35,N/A
Clark University,MA,New England,Urban,"Worcester, Massachusetts",Need & Merit,"$65,266","2,350",156,7%,"$27,097",79%,142,NU,50%,1250-1430,28-33,3.7
Clarkson University,NY,Mid-Atlantic,Rural,"Potsdam, New York",,"$77,058",,,,,,142,NU,78%,1190-1370,25-30,3.8
Clemson University,SC,Southeast,Rural,"Clemson, South Carolina",No Aid,"$58,694","22,341",155,1%,,,86,NU,43%,1220-1410,28-32,N/A
Coe College,IA,Plains,Urban,"Cedar Rapids, Iowa",Need & Merit,"$65,284","1,223",23,2%,"$31,942",165%,130,LAC,72%,1080-1280,22-28,3.6
Colby College,ME,New England,N/A,"Waterville, Maine",Need & Merit,"$81,550","2,299",237,10%,"$67,800",67%,25,LAC,8%,1430-1540,32-34,N/A
Colgate University,NY,Mid-Atlantic,Rural,"Hamilton, New York",Need & Merit,"$83,650","3,112",279,9%,"$70,084",53%,21,LAC,12%,1410-1530,32-34,3.9
College of Charleston,SC,Southeast,Urban,"Charleston, South Carolina",Merit,"$54,298","9,148",78,1%,"$9,091",54%,4,R/O,76%,1130-1300,24-30,N/A
College of the Atlantic,ME,New England,Rural,"Bar Harbor, Maine",Need & Merit,"$56,669",358,88,25%,"$50,199",100%,156,LAC,60%,1230-1460,27-32,3.8
College of the Holy Cross,MA,New England,City,"Worcester, Massachusetts",Need & Merit,"$76,880","3,210",112,3%,"$48,056",3%,27,LAC,36%,1260-1430,28-32,N/A
College of William and Mary,VA,Southeast,Suburban,"Williamsburg, Virginia",No Aid,"$64,344","6,457",283,4%,$0,0%,53,NU,33%,1375-1520,32-34,3.9
College of Wooster,OH,Great Lakes,Suburban,"Wooster, Ohio",Need & Merit,"$73,250","1,958",295,15%,"$40,467",101%,75,LAC,56%,1250-1450,27-32,3.7
Colorado College,CO,Rocky Mts,N/A,"Colorado Springs, Colorado",Need & Merit,"$83,228","2,174",132,6%,"$58,202",61%,33,LAC,14%,N/A,N/A,N/A
Colorado School of Mines,CO,Rocky Mts,Suburban,"Golden, Colorado",Merit,"$61,609","5,176",159,3%,"$23,037",18%,76,NU,58%,1330-1490,30-33,3.9
Colorado State University - Fort Collins,CO,Rocky Mts,City,"Fort Collins, Colorado",Need & Merit,"$50,309","23,252",572,2%,"$15,468",52%,151,NU,91%,1070-1290,23-29,3.7
Columbia College (MO),MO,Plains,N/A,"Columbia, Missouri",Merit,"$38,308",743,50,7%,"$21,973",96%,149-164,R/O,N/A,N/A,N/A,N/A
Columbia University,NY,Mid-Atlantic,N/A,"New York, New York",Need & Merit,"$86,097","6,668",1065,16%,"$79,375",23%,12,NU,4%,1470-1570,34-35,N/A
Connecticut College,CT,New England,Suburban,"New London, Connecticut",,"$82,285","1,915",147,8%,"$58,094",98%,46,LAC,40%,1360-1490,30-33,3.8
Cooper Union,NY,Mid-Atlantic,Urban,"New York, New York",,"$69,122",,,,,,2,R/O,22%,1380-1530,32-35,3.7
Cornell College,IA,Plains,Suburban,"Mount Vernon, Iowa",Need-Based,"$64,736","1,057",25,2%,"$36,873",100%,116,LAC,79%,1170-1380,23-30,3.6
Cornell University,NY,Mid-Atlantic,Rural,"Ithaca, New York",Need-Based,"$83,196","15,385",1153,7%,"$76,179",25%,12,NU,7%,1470-1570,33-35,N/A
Creighton University,NE,Plains,Urban,"Omaha, Nebraska",Merit,"$61,420","4,184",88,2%,"$37,253",76%,124,NU,76%,1208-1420,24-31,3.9
CUNY - Baruch College,NY,Mid-Atlantic,Urban,"New York, New York",,"$41,034",,,,,,9,R/O,50%,962-1418,N/A,3.6
Daemen University,NY,Mid-Atlantic,N/A,"Amherst, New York",Merit,"$48,890","1,557",19,1%,"$12,244",116%,345,NU,73%,1123-1205,N/A,3.6
Dartmouth College,NH,New England,Rural,"Hanover, New Hampshire",Need-Based,"$83,802","4,411",586,13%,"$79,007",65%,18,NU,6%,1500-1580,33-35,N/A
Davidson College,NC,Southeast,N/A,"Davidson, North Carolina",Need & Merit,"$75,865","1,922",189,10%,"$57,000",54%,16,LAC,17%,1350-1500,31-33,3.8
Denison University,OH,Great Lakes,Suburban,"Granville, Ohio",Need & Merit,"$76,900","2,312",403,17%,"$40,003",96%,39,LAC,22%,1270-1460,29-32,N/A
DePaul University,IL,Great Lakes,Urban,"Chicago, Illinois",Merit,"$62,553","12,834",414,3%,"$17,892",66%,59,R/O,70%,1070-1300,24-30,3.8
DePauw University,IN,Great Lakes,Rural,"Greencastle, Indiana",Need & Merit,"$72,210","1,733",364,21%,"$38,722",99%,46,LAC,66%,1140-1360,24-31,3.9
Dickinson College,PA,Mid-Atlantic,Suburban,"Carlisle, Pennsylvania",Need & Merit,"$80,541","2,076",245,12%,"$49,336",91%,46,LAC,35%,1260-1426,29-32,N/A
Drake University,IA,Plains,City,"Des Moines, Iowa",Need & Merit,"$64,237","2,739",108,4%,"$24,703",97%,178,NU,67%,1110-1340,25-30,3.7
Drexel University,PA,Mid-Atlantic,N/A,"Philadelphia, Pennsylvania",,"$79,145",,,,,,98,NU,80%,1230-1430,27-32,3.8
Duke University,NC,Southeast,N/A,"Durham, North Carolina",Need & Merit,"$82,749","6,640",656,10%,"$79,740",27%,7,NU,6%,1490-1570,34-35,N/A
Duquesne University,PA,Mid-Atlantic,Urban,"Pittsburgh, Pennsylvania",Merit,"$63,720","5,000",117,2%,"$28,854",83%,151,NU,87%,1160-1330,25-31,3.9
Earlham College,IN,Great Lakes,N/A,"Richmond, Indiana",Need-Based,"$65,851",653,113,17%,"$51,400",114%,100,LAC,73%,1130-1380,24-32,3.7
East Carolina University,NC,Southeast,City,"Greenville, North Carolina",Need & Merit,"$40,090","17,585",110,1%,"$14,842",40%,195,NU,92%,1040-1240,18-24,3.3
Eastern Michigan University,MI,Great Lakes,N/A,"Ypsilanti, Michigan",Merit,,"8,920",292,3%,"$19,455",29%,376,NU,83%,930-1180,18-25,3.3
Eckerd College,FL,Southeast,N/A,"St. Petersburg, Florida",,"$67,204",,,,,,130,LAC,65%,1107-1300,23-29,N/A
Elon University,NC,Southeast,N/A,"Elon, North Carolina",Merit,"$59,627","6,125",138,2%,"$31,746",62%,133,NU,74%,1170-1360,25-30,3.9
Embry Riddle Aeronautical U. - Daytona,FL,Southeast,Suburban,"Daytona Beach, Florida",,"$59,972",,744,,,,6,R/O,65%,1140-1340,23-29,N/A
Embry Riddle Aeronautical U. - Prescott,AZ,Southwest,N/A,"Prescott, Arizona",,"$60,158",,284,,,,1,R/O,68%,1170-1380,24-31,N/A
Emerson College,MA,New England,Urban,"Boston, Massachusetts",,"$77,370",,,,,,13,R/O,43%,1250-1430,30-32,3.7
Emory University/Oxford College,GA,Southeast,N/A,"Atlanta, Georgia",Need & Merit,"$78,814","6,949",1208,17%,"$51,447",6%,24,NU,11%,1430-1550,32-34,3.8
"Eugene Lang College, The New School",NY,Mid-Atlantic,Urban,"New York, New York",Merit,"$85,097","1,663",144,9%,"$11,937",65%,201,NU,57%,N/A,N/A,3.6
Evergreen State College,WA,West Coast,City,"Olympia, Washington",Merit,"$48,330",1609,0,0%,"$16,444",,69,R/O,96%,980-1220,22-29,3.3
Fairfield University,CT,New England,Suburban,"Fairfield, Connecticut",Need & Merit,"$74,085","4,655",99,2%,"$53,047",93%,124,NU,52%,1240-1370,28-31,3.8
Fairleigh Dickinson University,NJ,Mid-Atlantic,N/A,"Teaneck, New Jersey",,"$56,390",,,,,,14,R/O,87%,980-1280,20-27,3.2
Fashion Institute of Technology,NY,Mid-Atlantic,N/A,"New York, New York",Merit,"$49,000","6,857",916,13%,$888,2%,Unranked,R/O,53%,N/A,N/A,3.7
Flagler College,FL,Southeast,Suburban,"St. Augustine, Florida",Merit,"$42,450","2,524",70,3%,"$18,648",116%,3,R/O,81%,1050-1230,22-29,3.6
Florida Institute of Technology,FL,Southeast,Suburban,"Melbourne, Florida",,"$61,016",,,,,,269,NU,64%,1120-1320,22-28,3.5
Florida State University,FL,Southeast,City,"Tallahassee, Florida",Need & Merit,"$36,910","30,153",550,2%,"$8,486",82%,53,NU,25%,1210-1370,26-31,3.7
Fordham University,NY,Mid-Atlantic,Urban,"New York, New York",Merit,"$83,666","9,613",672,7%,"$35,706",50%,89,NU,54%,1320-1480,30-33,3.7
Franklin & Marshall College,PA,Mid-Atlantic,N/A,"Lancaster, Pennsylvania",Need & Merit,"$83,354","2,025",378,19%,"$56,879",35%,35,LAC,36%,1300-1440,30-32,N/A
Furman University,SC,Southeast,Suburban,"Greenville, South Carolina",Need-Based,"$73,920","2,250",80,4%,"$58,495",93%,46,LAC,67%,1260-1455,28-33,3.7
Gallaudet University,DC,Mid-Atlantic,City,"Washington, District of Columbia",Need & Merit,"$39,712",911,53,6%,"$12,379",36%,236,NU,59%,753-1091,14-20,3.8
Gannon University,PA,Mid-Atlantic,Urban,"Erie, Pennsylvania",,"$56,104",,,,,,260,NU,81%,1030-1263,21-27,3.6
George Mason University,VA,Southeast,N/A,"Fairfax, Virginia",Merit,"$56,885","21,013",1324,6%,"$10,450",42%,105,NU,90%,1140-1350,25-31,3.7
George Washington University,DC,Mid-Atlantic,N/A,"Washington, District of Columbia",Need & Merit,"$80,945","10,225",936,9%,"$33,092",14%,67,NU,49%,1330-1490,31-34,N/A
Georgetown University,DC,Mid-Atlantic,Urban,"Washington, District of Columbia",,"$84,696","7,143",1012,14%,"$76,211",3%,22,NU,12%,1390-1560,32-35,N/A
Georgia Institute of Technology,GA,Southeast,Urban,"Atlanta, Georgia",No Aid,"$49,218","15,178",1766,12%,,,33,NU,17%,1370-1550,31-35,N/A
Georgia State University,GA,Southeast,Urban,"Atlanta, Georgia",Merit,"$44,188","27,083",969,4%,"$2,905",27%,227,NU,61%,940-1190,19-26,3.6
Gettysburg College,PA,Mid-Atlantic,Suburban,"Gettysburg, Pennsylvania",Need & Merit,"$78,900","2,378",178,7%,"$51,688",71%,63,LAC,56%,1350-1440,28-32,N/A
Gonzaga University,WA,West Coast,Urban,"Spokane, Washington",Merit,"$69,707","4,899",182,4%,"$32,052",54%,93,NU,70%,1210-1410,26-31,3.7
Gordon College,MA,New England,N/A,"Wenham, Massachusetts",,"$41,390",,,,,,163,LAC,92%,1070-1305,23-32,3.7
Goshen College,IN,Great Lakes,N/A,"Goshen, Indiana",Need & Merit,"$51,410",667,67,10%,"$27,984",115%,12,R/O,94%,990-1220,22-29,3.5
Goucher College,MD,Mid-Atlantic,N/A,"Baltimore, Maryland",,"$70,000",953,31,3%,"$40,019",84%,124,LAC,81%,1110-1370,24-33,3.3
Grand Valley State University,MI,Great Lakes,N/A,"Allendale, Michigan",Need & Merit,"$33,101","16,455",233,1%,"$8,454",81%,235,NU,92%,N/A,N/A,N/A
Grinnell College,IA,Plains,Rural,"Grinnell, Iowa",Need & Merit,"$79,628","1,704",334,20%,"$51,496",64%,7,R/O,11%,1380-1530,31-34,N/A
Gustavus Adolphus College,MN,Plains,N/A,"St. Peter, Minnesota",Need-Based,"$66,120","2,058",88,4%,"$37,139",97%,67,LAC,74%,N/A,25-31,3.6
Hamilton College,NY,Mid-Atlantic,Rural,"Clinton, New York",Need-Based,"$80,380","2,070",151,7%,"$67,393",41%,16,LAC,12%,1420-1540,33-34,N/A
Hampshire College,MA,New England,N/A,"Amherst, Massachusetts",Need & Merit,"$71,374",491,34,7%,"$49,206",91%,139,LAC,69%,N/A,N/A,3.3
Harvard University,MA,New England,N/A,"Cambridge, Massachusetts",Need-Based,"$83,538","7,095",947,13%,"$72,516",70%,3,NU,3%,1490-1580,34-36,3.9
Harvey Mudd College,CA,West Coast,N/A,"Claremont, California",Need & Merit,"$84,896",909,83,9%,"$41,548",29%,16,LAC,13%,1480-1560,34-36,N/A
Haverford College,PA,Mid-Atlantic,Suburban,"Haverford, Pennsylvania",Need-Based,"$84,748","1,417",152,11%,"$79,770",30%,21,LAC,14%,1430-1540,33-35,N/A
Hillsdale College,MI,Great Lakes,Rural,"Hillsdale, Michigan",,"$46,602",,,,,,39,LAC,21%,1360-1520,30-34,3.9
Hobart and William Smith Colleges,NY,Mid-Atlantic,City,"Geneva, New York",Need & Merit,"$80,635","1,629",117,7%,"$37,820",86%,70,LAC,68%,1210-1400,27-32,3.6
Hofstra University,NY,Mid-Atlantic,Suburban,"Hempstead, New York",Merit,"$73,548","5,730",244,4%,"$28,706",67%,185,NU,69%,1190-1370,26-31,3.8
Hollins University,VA,Southeast,N/A,"Roanoke, Virginia",,"$59,250",686,56,8%,"$39,196",98%,124,LAC,72%,1113-1298,N/A,3.7
Hood College,MD,Mid-Atlantic,Suburban,"Frederick, Maryland",Need & Merit,"$62,870","1,147",20,2%,"$41,229",110%,60,R/O,78%,N/A,N/A,3.5
Hope College,MI,Great Lakes,City,"Holland, Michigan",,"$53,210",,,,,,100,LAC,80%,1090-1330,24-31,3.8
Howard University,DC,Mid-Atlantic,Urban,"Washington, District of Columbia",,"$51,450",,,,,,115,NU,53%,1050-1290,20-26,3.7
Illinois Institute of Technology,IL,Great Lakes,Urban,"Chicago, Illinois",,"$71,910","2,703",439,16%,"$26,477",95%,98,NU,61%,1220-1410,28-32,N/A
Illinois Wesleyan University,IL,Great Lakes,City,"Bloomington, Illinois",Merit,"$68,732","1,535",65,4%,"$39,305",97%,1,R/O,42%,1120-1330,25-30,3.8
Indiana University - Bloomington,IN,Great Lakes,City,"Bloomington, Indiana",Need & Merit,"$55,130","33,079",1806,5%,"$11,675",32%,73,NU,82%,1180-1400,27-32,3.8
Indiana U. - Purdue U. - Indianapolis,IN,Great Lakes,Urban,"Indianapolis, Indiana",Need & Merit,"$47,218","15,869",460,3%,"$12,114",43%,201,NU,83%,1050-1250,21-27,3.5
Iowa State University,IA,Plains,N/A,"Ames, Iowa",Merit,"$39,956","24,461",787,3%,"$11,572",44%,115,NU,90%,1090-1350,21-28,3.7
Ithaca College,NY,Mid-Atlantic,Suburban,"Ithaca, New York",Need & Merit,"$66,235","4,519",126,3%,"$38,307",96%,13,R/O,75%,1203-1380,28-32,N/A
James Madison University,VA,Southeast,Rural,"Harrisonburg, Virginia",Need & Merit,"$47,568","18,341",175,1%,"$21,741",51%,124,NU,78%,1140-1320,23-29,N/A
John Brown University,AR,Southeast,City,"Siloam Springs, Arkansas",,"$43,260",,,,,,13,R/O,58%,1100-1360,21-28,3.8
Johns Hopkins University,MD,Mid-Atlantic,Urban,"Baltimore, Maryland",Need & Merit,"$80,800","5,633",835,15%,"$36,276",21%,9,NU,7%,1520-1570,34-35,3.9
